data,ativo,preco
2025-07-30,Tesouro Selic,100.07
2025-07-30,CDB Liquidez Diária,100.07
2025-07-30,LCI/LCA,100.09
2025-07-30,Fundo Multimercado,100.65
2025-07-30,Fundo de Ações,101.02
2025-07-30,ETF BOVA11,100.94
2025-07-30,Ação PETR4,103.03
2025-07-30,Ação VALE3,102.32
2025-07-31,Tesouro Selic,100.09
2025-07-31,CDB Liquidez Diária,100.1
2025-07-31,LCI/LCA,100.09
2025-07-31,Fundo Multimercado,100.49
2025-07-31,Fundo de Ações,100.96
2025-07-31,ETF BOVA11,99.57
2025-07-31,Ação PETR4,99.33
2025-07-31,Ação VALE3,99.71
2025-08-01,Tesouro Selic,100.06
2025-08-01,CDB Liquidez Diária,100.09
2025-08-01,LCI/LCA,100.05
2025-08-01,Fundo Multimercado,99.93
2025-08-01,Fundo de Ações,101.52
2025-08-01,ETF BOVA11,99.43
2025-08-01,Ação PETR4,99.32
2025-08-01,Ação VALE3,97.99
2025-08-04,Tesouro Selic,100.07
2025-08-04,CDB Liquidez Diária,100.1
2025-08-04,LCI/LCA,100.02
2025-08-04,Fundo Multimercado,100.06
2025-08-04,Fundo de Ações,101.13
2025-08-04,ETF BOVA11,99.07
2025-08-04,Ação PETR4,98.21
2025-08-04,Ação VALE3,99.65
2025-08-05,Tesouro Selic,100.11
2025-08-05,CDB Liquidez Diária,100.1
2025-08-05,LCI/LCA,100.08
2025-08-05,Fundo Multimercado,99.63
2025-08-05,Fundo de Ações,100.46
2025-08-05,ETF BOVA11,97.11
2025-08-05,Ação PETR4,94.46
2025-08-05,Ação VALE3,97.57
2025-08-06,Tesouro Selic,100.2
2025-08-06,CDB Liquidez Diária,100.2
2025-08-06,LCI/LCA,100.15
2025-08-06,Fundo Multimercado,99.66
2025-08-06,Fundo de Ações,98.64
2025-08-06,ETF BOVA11,95.44
2025-08-06,Ação PETR4,92.06
2025-08-06,Ação VALE3,96.97
2025-08-07,Tesouro Selic,100.26
2025-08-07,CDB Liquidez Diária,100.2
2025-08-07,LCI/LCA,100.21
2025-08-07,Fundo Multimercado,99.56
2025-08-07,Fundo de Ações,97.63
2025-08-07,ETF BOVA11,95.07
2025-08-07,Ação PETR4,92.8
2025-08-07,Ação VALE3,98.03
2025-08-08,Tesouro Selic,100.25
2025-08-08,CDB Liquidez Diária,100.17
2025-08-08,LCI/LCA,100.22
2025-08-08,Fundo Multimercado,99.85
2025-08-08,Fundo de Ações,97.84
2025-08-08,ETF BOVA11,95.32
2025-08-08,Ação PETR4,91.83
2025-08-08,Ação VALE3,96.48
2025-08-11,Tesouro Selic,100.34
2025-08-11,CDB Liquidez Diária,100.32
2025-08-11,LCI/LCA,100.3
2025-08-11,Fundo Multimercado,100.39
2025-08-11,Fundo de Ações,99.15
2025-08-11,ETF BOVA11,96.06
2025-08-11,Ação PETR4,93.05
2025-08-11,Ação VALE3,99.09
2025-08-12,Tesouro Selic,100.38
2025-08-12,CDB Liquidez Diária,100.42
2025-08-12,LCI/LCA,100.26
2025-08-12,Fundo Multimercado,100.79
2025-08-12,Fundo de Ações,99.92
2025-08-12,ETF BOVA11,96.58
2025-08-12,Ação PETR4,93.76
2025-08-12,Ação VALE3,97.25
2025-08-13,Tesouro Selic,100.41
2025-08-13,CDB Liquidez Diária,100.47
2025-08-13,LCI/LCA,100.35
2025-08-13,Fundo Multimercado,100.64
2025-08-13,Fundo de Ações,98.67
2025-08-13,ETF BOVA11,95.35
2025-08-13,Ação PETR4,93.48
2025-08-13,Ação VALE3,96.71
2025-08-14,Tesouro Selic,100.42
2025-08-14,CDB Liquidez Diária,100.49
2025-08-14,LCI/LCA,100.37
2025-08-14,Fundo Multimercado,100.99
2025-08-14,Fundo de Ações,98.66
2025-08-14,ETF BOVA11,95.38
2025-08-14,Ação PETR4,93.07
2025-08-14,Ação VALE3,94.86
2025-08-15,Tesouro Selic,100.48
2025-08-15,CDB Liquidez Diária,100.57
2025-08-15,LCI/LCA,100.42
2025-08-15,Fundo Multimercado,101.0
2025-08-15,Fundo de Ações,96.96
2025-08-15,ETF BOVA11,93.99
2025-08-15,Ação PETR4,91.12
2025-08-15,Ação VALE3,92.43
2025-08-18,Tesouro Selic,100.51
2025-08-18,CDB Liquidez Diária,100.62
2025-08-18,LCI/LCA,100.53
2025-08-18,Fundo Multimercado,101.11
2025-08-18,Fundo de Ações,97.47
2025-08-18,ETF BOVA11,94.33
2025-08-18,Ação PETR4,89.3
2025-08-18,Ação VALE3,92.13
2025-08-19,Tesouro Selic,100.56
2025-08-19,CDB Liquidez Diária,100.76
2025-08-19,LCI/LCA,100.58
2025-08-19,Fundo Multimercado,101.35
2025-08-19,Fundo de Ações,97.77
2025-08-19,ETF BOVA11,93.92
2025-08-19,Ação PETR4,90.16
2025-08-19,Ação VALE3,92.91
2025-08-20,Tesouro Selic,100.65
2025-08-20,CDB Liquidez Diária,100.82
2025-08-20,LCI/LCA,100.71
2025-08-20,Fundo Multimercado,100.95
2025-08-20,Fundo de Ações,97.48
2025-08-20,ETF BOVA11,94.71
2025-08-20,Ação PETR4,89.81
2025-08-20,Ação VALE3,92.77
2025-08-21,Tesouro Selic,100.7
2025-08-21,CDB Liquidez Diária,100.85
2025-08-21,LCI/LCA,100.69
2025-08-21,Fundo Multimercado,101.03
2025-08-21,Fundo de Ações,96.37
2025-08-21,ETF BOVA11,94.29
2025-08-21,Ação PETR4,88.3
2025-08-21,Ação VALE3,93.81
2025-08-22,Tesouro Selic,100.69
2025-08-22,CDB Liquidez Diária,100.83
2025-08-22,LCI/LCA,100.72
2025-08-22,Fundo Multimercado,100.53
2025-08-22,Fundo de Ações,95.71
2025-08-22,ETF BOVA11,94.34
2025-08-22,Ação PETR4,86.55
2025-08-22,Ação VALE3,93.63
2025-08-25,Tesouro Selic,100.75
2025-08-25,CDB Liquidez Diária,100.92
2025-08-25,LCI/LCA,100.73
2025-08-25,Fundo Multimercado,100.16
2025-08-25,Fundo de Ações,95.36
2025-08-25,ETF BOVA11,93.98
2025-08-25,Ação PETR4,86.44
2025-08-25,Ação VALE3,93.8
2025-08-26,Tesouro Selic,100.75
2025-08-26,CDB Liquidez Diária,100.93
2025-08-26,LCI/LCA,100.75
2025-08-26,Fundo Multimercado,99.88
2025-08-26,Fundo de Ações,96.89
2025-08-26,ETF BOVA11,95.1
2025-08-26,Ação PETR4,86.34
2025-08-26,Ação VALE3,95.36
2025-08-27,Tesouro Selic,100.73
2025-08-27,CDB Liquidez Diária,100.94
2025-08-27,LCI/LCA,100.79
2025-08-27,Fundo Multimercado,99.55
2025-08-27,Fundo de Ações,97.37
2025-08-27,ETF BOVA11,95.46
2025-08-27,Ação PETR4,87.61
2025-08-27,Ação VALE3,98.25
2025-08-28,Tesouro Selic,100.75
2025-08-28,CDB Liquidez Diária,100.93
2025-08-28,LCI/LCA,100.78
2025-08-28,Fundo Multimercado,99.26
2025-08-28,Fundo de Ações,96.67
2025-08-28,ETF BOVA11,95.01
2025-08-28,Ação PETR4,87.45
2025-08-28,Ação VALE3,98.91
2025-08-29,Tesouro Selic,100.8
2025-08-29,CDB Liquidez Diária,101.04
2025-08-29,LCI/LCA,100.82
2025-08-29,Fundo Multimercado,100.32
2025-08-29,Fundo de Ações,99.5
2025-08-29,ETF BOVA11,97.02
2025-08-29,Ação PETR4,88.42
2025-08-29,Ação VALE3,101.13
2025-09-01,Tesouro Selic,100.83
2025-09-01,CDB Liquidez Diária,101.09
2025-09-01,LCI/LCA,100.88
2025-09-01,Fundo Multimercado,100.34
2025-09-01,Fundo de Ações,98.54
2025-09-01,ETF BOVA11,95.47
2025-09-01,Ação PETR4,86.36
2025-09-01,Ação VALE3,100.42
2025-09-02,Tesouro Selic,100.88
2025-09-02,CDB Liquidez Diária,101.1
2025-09-02,LCI/LCA,100.92
2025-09-02,Fundo Multimercado,100.52
2025-09-02,Fundo de Ações,97.89
2025-09-02,ETF BOVA11,95.24
2025-09-02,Ação PETR4,86.18
2025-09-02,Ação VALE3,98.78
2025-09-03,Tesouro Selic,100.95
2025-09-03,CDB Liquidez Diária,101.19
2025-09-03,LCI/LCA,101.03
2025-09-03,Fundo Multimercado,101.0
2025-09-03,Fundo de Ações,97.27
2025-09-03,ETF BOVA11,94.54
2025-09-03,Ação PETR4,86.01
2025-09-03,Ação VALE3,98.76
2025-09-04,Tesouro Selic,101.02
2025-09-04,CDB Liquidez Diária,101.42
2025-09-04,LCI/LCA,101.15
2025-09-04,Fundo Multimercado,101.65
2025-09-04,Fundo de Ações,99.37
2025-09-04,ETF BOVA11,96.6
2025-09-04,Ação PETR4,87.74
2025-09-04,Ação VALE3,101.64
